ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
apparecchiare,parecia,,parecia,7
appassire,pasi,,pasi,4
appassire,deenta pas,,deenta pas,10
appena,doma,,doma,4
appena,noma,,noma,4
appendere,taca via,,taca via,8
appesantita,engreada,,engreada,8
appestato,empestat,,empestat,8
appioppare,peta,,peta,4
appisolarsi,empisolas,,empisolas,9
appoggiare,arpa,arcaico,arpa,4
appoggio,derma,,derma,5
apprensione,coacol,,coacol,6
apprezzare,presia,arcaico,presia,6
approfittatore,papu,,papu,4
approntare,meter a punto,,meter a punto,13
aprile,april,,april,5
aprile,bril,,bril,4
aprire,derver,,derver,6
aquila,agla,ornitologia,agla,4
aquila,agola,ornitologia,agola,5
aquilone,stela,,stela,5
arancia,portogal,botanica,portogal,8
aratro,pio,,pio,3
aratro a due vomeri,voltaorecie,,voltaorecie,11
aratro leggero,silorgna,arcaico,silorgna,8
arbusto,arbost,,arbost,6
arcangelica,bragosa selvadega,botanica,bragosa selvadega,17
arcione,arsu,,arsu,4
ITALIANO,BRESCIANO,categoria,bresciano,9
arcobaleno,arcu,,arcu,4
arcobaleno,iride,,iride,5
arcolaio,filarel,,filarel,7
arcolaio,guindol,,guindol,7
arcolaio,tornel,,tornel,6
ardere,luzer,,luzer,5
ardesia,plota,minerale,plota,5
ardesia,ploza,minerale,ploza,5
ardesia,pooda,minerale,pooda,5
ardiglione (puntale della fibbia),ariu,,ariu,4
ardiglione (puntale della fibbia),puntal de la fobia,,puntal de la fobia,18
arenaria rossa,simuna,minerale,simuna,6
arengario,arengh,archittettura,arengh,6
argano,arghen,,arghen,6
argentiere,arzenter,,arzenter,8
argento purissimo,arzent de copela,,arzent de copela,16
argilla,enclena,,enclena,7
argilla,tera,,tera,4
argine,riadel,,riadel,6
argine dei prati,rie,,rie,3
argine naturale,regona,"bassabresciana",regona,6
aria,ora,,ora,3
"aria umida, frizzante",gnifa,,gnifa,5
"arido, secco",ars,,ars,3
"ariete, montone",baro,,baro,4
"ariete, montone",bos,,bos,3
aringa o sardina salata,cospetu,,cospetu,7
aringa secca,rengh,pesce-pesca,rengh,5
aringhe affumicate,reng fomegacc,,reng fomegacc,13
ariosa,ariusa,,ariusa,6
armadietto,stipet,,stipet,6
armadietto,stipiti,,stipiti,7
armadietto,vestargi,,vestargi,8
armadio,armoa,francesismo,armoa,5
armadio,vestare,,vestare,7
armaiolo,armarol,,armarol,7
armaiolo,s'ciopeter,arcaico,s'ciopeter,10
armatura,armadura,,armadura,8
armonica a bocca,spineta,,spineta,7
arnese per cogliere fichi,catafich,,catafich,8
arnia,borgas,arcaico,borgas,6
arnia,brogas,arcaico,brogas,6
arnica,erba de s. Gioaan,botanica,erba de s. gioaan,17
arnica,fiur de s. Piero,botanica,fiur de s. piero,16
ITALIANO,BRESCIANO,categoria,bresciano,9
arnica,tabach de Caregn,botanica,tabach de caregn,16
"arnica (polvere bianca per liberare ilnaso)",sternudina,botanica,sternudina,10
